"Player Name","City, State","Position","Composite Rating","Star Rating","University","Conference","Class","Latitude","Longitude"
"Drew Kendall","Dedham, MA","IOL",0.9392,"4","Boston College","ACC",2021,42.2489143,-71.1755732
"Clinton Burton Jr.","Baltimore, MD","CB",0.925,"4","Boston College","ACC",2021,39.2908816,-76.610759
"Bryce Steele","Raleigh, NC","LB",0.8884,"3","Boston College","ACC",2021,35.7803977,-78.6390989
"Jalen Cheek","Atco, NJ","CB",0.8742,"3","Boston College","ACC",2021,39.769838,-74.8873855
"Owen McGowan","West Roxbury, MA","LB",0.8635,"3","Boston College","ACC",2021,42.2792649,-71.1494972
"Jalon Williams","Grand Prairie, TX","CB",0.8628,"3","Boston College","ACC",2021,32.7459645,-96.9977846
"Neto Okpala","Loganville, GA","Edge",0.8618,"3","Boston College","ACC",2021,33.8389977,-83.9007382
"Nigel Tate","Potomac, MD","DL",0.8572,"3","Boston College","ACC",2021,39.0180508,-77.1956331355745
"Jamareeh Jones","Highland Springs, VA","ATH",0.8552,"3","Boston College","ACC",2021,37.5527518,-77.3250361088923
"Xavier Coleman","Medford, NJ","RB",0.8551,"3","Boston College","ACC",2021,39.9009472,-74.8234961
"Otto Hess","Oswego, IL","OT",0.8485,"3","Boston College","ACC",2021,41.6834778,-88.3525714
"Lewis Bond","Chicago, IL","RB",0.8477,"3","Boston College","ACC",2021,41.8755616,-87.6244212
"Cole Batson","San Clemente, CA","ATH",0.8464,"3","Boston College","ACC",2021,33.4270275,-117.6124179
"Donovan Ezeiruaku","Williamstown, NJ","LB",0.845,"3","Boston College","ACC",2021,39.688691,-74.9869191029252
"Casey Phinney","Dedham, MA","LB",0.8444,"3","Boston College","ACC",2021,42.2489143,-71.1755732
"Owen Stoudmire","Creston, OH","DL",0.8436,"3","Boston College","ACC",2021,40.9869997,-81.8937511
"Shawn Asbury II","Stafford, VA","CB",0.841,"3","Boston College","ACC",2021,38.4222681,-77.4084067
"Dante Reynolds","Chicago, IL","WR",0.8384,"3","Boston College","ACC",2021,41.8755616,-87.6244212
"Quintavious Hutchins","Bessemer, AL","Edge",0.8381,"3","Boston College","ACC",2021,33.4017766,-86.954437
"Tyeus Clemons","Harvest, AL","Edge",0.8369,"3","Boston College","ACC",2021,34.85719325,-86.7490701225252
"Ilija Krajnovic","Bradenton, FL","OT",0.8336,"3","Boston College","ACC",2021,27.4989278,-82.5748194
"Emmett Morehead","Alexandria, VA","QB",0.8322,"3","Boston College","ACC",2021,38.8051095,-77.0470229
"Jaden Williams","Pflugerville, TX","WR",0.8261,"3","Boston College","ACC",2021,30.4393696,-97.6200043
"Connor Lytton","Radford, VA","K",0.8221,"3","Boston College","ACC",2021,37.1292934,-80.5357895
"Jaylen Blackwell","McDonough, GA","S",0.8126,"3","Boston College","ACC",2021,33.4473361,-84.1468616
"Tristan Leigh","Fairfax, VA","OT",0.9921,"5","Clemson","ACC",2021,38.8462236,-77.3063733
"Will Shipley","Matthews, NC","RB",0.9839,"5","Clemson","ACC",2021,35.1159532,-80.7224386
"Barrett Carter","Suwanee, GA","LB",0.9835,"5","Clemson","ACC",2021,34.0514898,-84.0712997
"Jeremiah Trotter Jr.","Philadelphia, PA","LB",0.9818,"4","Clemson","ACC",2021,39.9527237,-75.1635262
"Jake Briningstool","Brentwood, TN","TE",0.9713,"4","Clemson","ACC",2021,36.0325687,-86.7825235
"Beaux Collins","Bellflower, CA","WR",0.9624,"4","Clemson","ACC",2021,33.8825705,-118.1167679
"Payton Page","Greensboro, NC","DL",0.9585,"4","Clemson","ACC",2021,36.0726355,-79.7919754
"Cade Denhoff","Lakeland, FL","DL",0.9536,"4","Clemson","ACC",2021,28.0394654,-81.9498042
"Nate Wiggins","Atlanta, GA","CB",0.9451,"4","Clemson","ACC",2021,33.7489924,-84.3902644
"Marcus Tate","Miami Gardens, FL","IOL",0.941,"4","Clemson","ACC",2021,25.9420377,-80.2456045
"Andrew Mukuba","Austin, TX","S",0.9278,"4","Clemson","ACC",2021,30.2711286,-97.7436995
"Troy Stellato","Fort Lauderdale, FL","WR",0.9253,"4","Clemson","ACC",2021,26.1223084,-80.1433786
"Dacari Collins","Atlanta, GA","WR",0.9248,"4","Clemson","ACC",2021,33.7489924,-84.3902644
"Phil Mafah","Loganville, GA","RB",0.9237,"4","Clemson","ACC",2021,33.8389977,-83.9007382
"Zaire Patterson","Winston Salem, NC","Edge",0.9236,"4","Clemson","ACC",2021,36.0998131,-80.2440518
"Dietrick Pennington","Cordova, TN","IOL",0.9174,"4","Clemson","ACC",2021,35.1556451,-89.7761955
"Ryan Linthicum","Damascus, MD","IOL",0.9135,"4","Clemson","ACC",2021,39.2694715,-77.1968940834768
"Bubba Chandler","Bogart, GA","QB",0.8877,"3","Clemson","ACC",2021,33.949281,-83.534608
"Will Taylor","Irmo, SC","ATH",0.8452,"3","Clemson","ACC",2021,34.08846885,-81.1802112130259
"Destyn Hill","New Orleans, LA","WR",0.9482,"4","Florida State","ACC",2021,29.9499323,-90.0701156
"Hunter Washington","Katy, TX","CB",0.9087,"4","Florida State","ACC",2021,29.7857853,-95.8243956
"Malik McClain","Bradenton, FL","WR",0.9056,"4","Florida State","ACC",2021,27.4989278,-82.5748194
"Shambre Jackson","Orlando, FL","DL",0.9042,"4","Florida State","ACC",2021,28.5421109,-81.3790304
"Omarion Cooper","Lehigh Acres, FL","CB",0.904,"4","Florida State","ACC",2021,26.6091509,-81.652407
"Rod Orr","Gadsden, AL","OT",0.8986,"4","Florida State","ACC",2021,34.010929,-85.9989596
"Patrick Payton","Miami, FL","LB",0.8949,"4","Florida State","ACC",2021,25.7741728,-80.19362
